"","year","month","total_fahrzeug","year_month","total_oev","total_fuss","total_velo","temperature","precipitation","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","stringency_index","containment_health_index","forecast_velo","forecast_miv","forecast_fuss","diff_velo","diff_miv","diff_fuss","diff_oev","perc_velo","perc_miv","perc_fuss","perc_oev"
"1",2020,1,8595290,2020-01-01,NA,1470653,1471517,3.6,16.5,NA,NA,NA,NA,NA,NA,NA,0,0,1252178.27341394,8790203.18667759,1496807.34949476,219338.726586063,-194913.186677594,-26154.3494947646,NA,17.5165734179414,-2.21739114032089,-1.74734240205279,NA
"2",2020,2,8308431,2020-02-01,7524000,1402531,1374603,7.6,69.8,2.27577319587629,3.1219512195122,19.6167400881057,3.78974358974359,-4.01546391752577,0.782918149466192,0,2.68199233716475,5.31609195402299,1252006.38396183,8574409.1607691,1493354.33181935,122596.616038168,-265978.160769099,-90823.3318193522,0,9.79201205430157,-3.10199986707005,-6.08183402184947,0
"3",2020,3,6631168,2020-03-01,7367000,1134967,1276055,7.3,47.9,-36.8343711083437,-4.35921052631579,-3.82692307692308,-31.590570719603,-22.84875,11.6825688073395,609,54.2568255232532,48.1746979954865,1523375.30872189,8903883.85703621,1598673.99329852,-247320.308721891,-2272715.85703621,-463706.993298524,-157000,-16.2350214885255,-25.5249944128619,-29.005725697818,-2.08665603402445
"4",2020,4,5391976,2020-04-01,2508000,951048,1336751,13.5,16.8,-73.0935023771791,-11.3304498269896,21.2542372881356,-44.9435897435897,-42.9820971867008,19.4338085539715,298,81.4814814814815,68.0555555555556,1621331.39711483,8621561.41669608,1536441.98716037,-284580.39711483,-3229585.41669608,-585393.987160366,-5016000,-17.5522658489956,-37.4594027764139,-38.1006241727541,-66.6666666666667
"5",2020,5,6314018,2020-05-01,5482000,1210475,1619849,14.7,73.6,-36.272,-1.74315068493151,19.1868131868132,-26.1890547263682,-25.9586983729662,11.7453531598513,27,76.284348864994,68.8620071684588,1812994.53578458,8894827.4849309,1538628.39573213,-193145.535784584,-2580809.4849309,-328153.395732134,-2042000,-10.653398671221,-29.0147222001006,-21.3276575840125,-27.1398192450824
"6",2020,6,7234395,2020-06-01,6259000,1318844,1892774,17.8,79.1,-15.1708860759494,-1.41196581196581,19.9058823529412,-14.0642673521851,-17.5025706940874,5.85925925925926,7,50.8024691358025,53.8425925925926,1986024.75490067,8684297.3223517,1523093.09416665,-93250.754900666,-1449902.3223517,-204249.09416665,-1265000,-4.69534705801439,-16.6956780558392,-13.4101516807417,-16.812865497076
"7",2020,7,7504104,2020-07-01,5946000,1249187,1991156,21.3,5.6,-7.38181818181818,3.10726072607261,99.3098236775819,-5.29477611940298,-23.0534161490683,2.73166368515206,69,35.9617682198327,46.9982078853047,1786433.3656882,8416274.0275652,1469995.81781402,204722.634311801,-912170.027565204,-220808.817814017,-1578000,11.4598528130902,-10.8381692965039,-15.021050749816,-20.9728867623604
"8",2020,8,7696386,2020-08-01,8072000,1232218,2042854,21.1,127.9,-11.1211498973306,-3.83710407239819,99.7649769585254,-7.36677115987461,-23.2102803738318,2.56569343065693,161,34.2592592592593,46.5277777777778,1990538.66879871,8523879.43002093,1522573.53530814,52315.3312012935,-827493.430020932,-290355.535308141,548000,2.62819969394847,-9.70794386305509,-19.0700500550457,7.28335991493886
"9",2020,9,7803967,2020-09-01,7103000,1313078,2057742,17,46.2,-7.98476190476191,-1.77661795407098,60.508896797153,-5.95982142857143,-15.5374449339207,1.54577464788732,102,34.2592592592593,45.3600823045267,2020999.29603566,8512163.35575121,1518251.19896221,36742.7039643386,-708196.355751205,-205173.198962215,-421000,1.81804635144664,-8.31981631640934,-13.513784748035,-5.59542796384902
"10",2020,10,7906709,2020-10-01,6614000,1332465,1641537,10.6,106.6,-15.0567164179104,-2.24790619765494,19.4481981981982,-17.7531017369727,-16.9278606965174,5.56940063091483,1259,30.6905172795256,40.2645028541086,1758908.62056561,8717487.07263151,1538285.51966526,-117371.620565607,-810778.072631514,-205820.519665257,-910000,-6.67298000551412,-9.3005939197426,-13.3798645982214,-12.0946305156831
