"objid","zst_nr","zst_name","breitengr","laengengr","gemeinde","zst_klasse","kombiniert","art","anz_arme","anz_fahrst","zweck","typ","str_typ","eigentum","dat_inbetr","gueltig","link_ext","dbl_format"
"23",405,"Dorenbachviadukt",47.544199,7.576092,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"24",406,"Wasgenring 62",47.562177,7.564059,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"25",407,"Äussere Baselstrasse 381 (Riehen)",47.572231,7.623729,"Riehen","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"27",409,"Grenzacherstrasse 511",47.562753,7.630744,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"28",410,"St. Alban-Anlage 72",47.552721,7.604987,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"29",411,"Fasanenstrasse (DB-Brücke)",47.573754,7.602694,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV","Induktionsschlaufen","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2000-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"32",414,"Gundeldingerstrasse 428",47.538105,7.599844,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Induktionsschlaufen","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2000-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"33",415,"Grosspeterstrasse 45",47.545213,7.601868,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,3,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"34",416,"J. Burckhardt-Strasse 85",47.545446,7.599614,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"35",417,"Sevogelstrasse 91",47.549079,7.60148,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Induktionsschlaufen","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2000-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"38",653,"Flughafenstrasse 30",47.56765,7.570948,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2006-04-01 02:00:00+02:00","in Betrieb",,"xlsx"
"40",656,"Elsässerstrasse 146",47.573141,7.575777,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2000-08-01 02:00:00+02:00","in Betrieb",,"xlsx"
"43",670,"Zoll CH-D, Hiltalingerstrasse",47.588926,7.593116,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Deutschland","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
