"objid","zst_nr","zst_name","breitengr","laengengr","gemeinde","zst_klasse","kombiniert","art","anz_arme","anz_fahrst","zweck","typ","str_typ","eigentum","dat_inbetr","gueltig","link_ext","dbl_format"
"220",201613,"Efringerstrasse 25",47.568612,7.596374,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-04-23 02:00:00+02:00","ausser Betrieb",,"xlsx"
"222",201617,"Rheingasse 4",47.560573,7.591474,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2014-05-03 02:00:00+02:00","ausser Betrieb",,"xlsx"
"225",201620,"Au-/Leimenstrasse",47.553541,7.582009,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,2,"MIV+Velo+Fuss","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-06-16 02:00:00+02:00","ausser Betrieb",,"pdf"
"229",300202,"Allschwil Binningerstrasse",47.546311,7.555318,"Allschwil","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Land","2000-01-01 01:00:00+01:00","in Betrieb","https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen","xlsx"
"230",300601,"Binningen Baslerstrasse",47.543579,7.578206,"Binningen","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Land","2000-01-01 01:00:00+01:00","in Betrieb","https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen","xlsx"
"235",301103,"Muttenz St. Jakob-Strasse",47.536264,7.627497,"Muttenz","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Land","2000-01-01 01:00:00+01:00","in Betrieb","https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen","xlsx"
"239",201701,"Turnerstrasse 29",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-01-12 01:00:00+01:00","ausser Betrieb",,"pdf"
"241",201703,"Im Holeeletten 22",47.546716,7.566603,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo+Fuss","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-01-24 01:00:00+01:00","ausser Betrieb",,"pdf"
"242",201704,"Jungstrasse 18",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-01-10 01:00:00+01:00","ausser Betrieb",,"pdf"
"244",201707,"Steinenring 13",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2016-12-30 01:00:00+01:00","ausser Betrieb",,"xlsx"
"246",201709,"Neuweilerstrasse 80",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2016-12-23 01:00:00+01:00","ausser Betrieb",,"xlsx"
"247",201710,"St. Jakobs-Strasse 42",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2017-01-06 01:00:00+01:00","ausser Betrieb",,"xlsx"
"250",201813,"Chrischonaweg 73",0,0,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-03-24 01:00:00+01:00","ausser Betrieb",,"xlsx"
"251",201714,"Essigstrasse 33",0,0,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-03-10 01:00:00+01:00","ausser Betrieb",,"xlsx"
"254",201717,"Burgstrasse 153",0,0,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-05-20 02:00:00+02:00","ausser Betrieb",,"xlsx"
"259",201621,"Schäublinstrasse 35",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-09-02 02:00:00+02:00","ausser Betrieb",,"xlsx"
"265",201726,"Gartenstrasse 63",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-11-21 01:00:00+01:00","ausser Betrieb",,"xlsx"
"266",201827,"Schliengerweg 12",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-10-02 02:00:00+02:00","ausser Betrieb",,"xlsx"
"267",201719,"Horburgstrasse 33",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-05-05 02:00:00+02:00","ausser Betrieb",,"xlsx"
"271",201752,"Bachgraben",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,4,"MIV+Velo+Fuss","Handzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2017-07-14 02:00:00+02:00","ausser Betrieb",,"pdf"
"274",201626,"Davidsrain 9",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-11-15 01:00:00+01:00","ausser Betrieb",,"pdf"
"277",200902,"Buchenstrasse 38",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2009-11-17 01:00:00+01:00","ausser Betrieb",,"pdf"
"280",201119,"Buchenstrasse 24",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-01-20 01:00:00+01:00","ausser Betrieb",,"pdf"
"284",201628,"Sissacherstrasse 23",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-12-13 01:00:00+01:00","ausser Betrieb",,"pdf"
"289",201731,"Markircherstrasse 12",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-06-22 02:00:00+02:00","ausser Betrieb",,"pdf"
"298",201324,"Sonnenweg 12",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-11-05 01:00:00+01:00","ausser Betrieb",,"pdf"
"302",201904,"Holbeinstrasse 10",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2019-10-24 02:00:00+02:00","ausser Betrieb",,"pdf"
"309",201636,"Spalentorweg 43",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-11-08 01:00:00+01:00","ausser Betrieb",,"pdf"
"316",84860,"B3/B317 Zollfreistrasse (CH/Lörrach)",-99,-99,"Lörrach","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Handzählung","Hauptverkehrsstrasse (HVS)","Deutschland","2014-01-01 01:00:00+01:00","Ausser Betrieb",,"xlsx"
"2",113,"Schwarzwaldbrücke lokal alt",47.557304,7.614556,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,6,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","1974-01-01 01:00:00+01:00","ausser Betrieb",,"xlsx"
"3",140,"A2-A5, Grenzbrücke",47.578389,7.599079,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV","Induktionsschlaufen","Hochleistungsstrasse (HLS)","Kanton Basel-Stadt","1980-11-01 01:00:00+01:00","ausser Betrieb",,"xlsx"
"6",233,"A3-A35, Grenze CH-F, lokal",47.576163,7.561991,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2005-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"54",805,"Rebgasse 11/28",47.560622,7.594464,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"93",200804,"Riehenring 185",47.570253,7.597613,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Plattenzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","1998-09-12 02:00:00+02:00","ausser Betrieb",,"xlsx"
"96",200807,"Elsässerstrasse Zoll",47.576952,7.572018,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Plattenzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","1998-09-21 02:00:00+02:00","ausser Betrieb",,"xlsx"
"110",201051,"Voltaplatz",47.570757,7.577954,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,0,"MIV+Velo/Moto","Handzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2010-02-02 01:00:00+01:00","ausser Betrieb",,"pdf"
"111",201052,"Bahnhofplatz/Riehenstrasse Unterführung",47.565818,7.607784,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",3,0,"MIV","Handzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2010-03-18 01:00:00+01:00","ausser Betrieb",,"pdf"
"120",201105,"Lettackerweg Grenze (Riehen)",47.594864,7.657166,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo+Fuss","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Andere","2011-03-22 01:00:00+01:00","ausser Betrieb",,"xlsx"
"121",201106,"Friedlingen Grenze (Weg unter der Autobahn)",47.58576,7.601795,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo+Fuss","Handzaehlung","Andere","Andere","2011-03-22 01:00:00+01:00","ausser Betrieb",,"xlsx"
"125",201110,"Elsässerstrasse Grenze",47.576964,7.572045,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo+Fuss","Radar","Hauptverkehrsstrasse (HVS)","Andere","2011-04-05 02:00:00+02:00","ausser Betrieb",,"xlsx"
"126",201111,"Hüningerstrasse Grenze",47.57626,7.580589,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo+Fuss","Radar","Siedlungsorientierte Strasse (SOS)","Andere","2011-03-31 02:00:00+02:00","ausser Betrieb",,"xlsx"
"131",201623,"Strassburgerallee 112",47.560793,7.56825,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2011-11-12 01:00:00+01:00","ausser Betrieb",,"xlsx"
"133",201118,"Klybeckstrasse 98/65",47.567511,7.590616,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2011-12-19 01:00:00+01:00","ausser Betrieb",,"xlsx"
"141",201251,"Blotzheimerstrasse - Grienstrasse",47.561406,7.565273,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,0,"MIV","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2012-01-10 01:00:00+01:00","ausser Betrieb",,"pdf"
"145",201632,"Beim Wasserturm 8",47.52735,7.59307,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-05-07 02:00:00+02:00","ausser Betrieb",,"pdf"
"150",201539,"Froburgstrasse 17",47.555739,7.61179,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-04-09 02:00:00+02:00","ausser Betrieb",,"pdf"
"164",201501,"Kohlenstrasse (vor Zoll)",47.57608,7.574911,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-11-02 01:00:00+01:00","ausser Betrieb",,"xlsx"
"165",201502,"Elsässerstrasse (vor Zoll)",47.57678,7.572261,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-11-02 01:00:00+01:00","ausser Betrieb",,"xlsx"
"167",201504,"Hegenheimerstrasse (vor Zoll)",47.565162,7.557677,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2015-11-02 01:00:00+01:00","ausser Betrieb",,"xlsx"
"182",201523,"Keltenweg 15 (Riehen)",47.573318,7.634072,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-15 02:00:00+02:00","ausser Betrieb",,"xlsx"
"183",201524,"Wasserstelzenweg 15 (Riehen)",47.572723,7.639963,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-15 02:00:00+02:00","ausser Betrieb",,"xlsx"
"189",201530,"Grenzacherweg 15  (Riehen)",47.579402,7.648439,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-23 02:00:00+02:00","ausser Betrieb",,"xlsx"
"191",201534,"Gempenstrasse 16",47.544864,7.587279,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-05-19 02:00:00+02:00","ausser Betrieb",,"pdf"
"194",201537,"In den Klosterreben 13",47.554623,7.606118,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-06-03 02:00:00+02:00","ausser Betrieb",,"pdf"
"199",201545,"Gempenstrasse 68",47.543157,7.585847,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-01-17 01:00:00+01:00","ausser Betrieb",,"xlsx"
"203",201549,"St. Jakob Denkmal",47.547909,7.598344,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,0,"MIV","Handzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-09-02 02:00:00+02:00","ausser Betrieb",,"pdf"
"207",201553,"Hammerstrasse 75",47.563341,7.596358,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2014-05-03 02:00:00+02:00","ausser Betrieb",,"xlsx"
"209",201602,"Birkenstrasse 38",47.556755,7.573026,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-03-10 01:00:00+01:00","ausser Betrieb",,"pdf"
"210",201603,"Chrischonastrasse 63",47.559835,7.603748,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-03-03 01:00:00+01:00","ausser Betrieb",,"pdf"
"211",201604,"Dammerkirchstrasse 24",47.567501,7.567679,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-02-25 01:00:00+01:00","ausser Betrieb",,"pdf"
"214",201607,"Kannenfeldplatz",47.565562,7.57343,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",4,2,"MIV+Velo+Fuss","Induktionsschlaufen LSA","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2016-04-21 02:00:00+02:00","ausser Betrieb",,"pdf"
"218",201611,"Mostackerstrasse 14",47.555298,7.581772,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-03-08 01:00:00+01:00","ausser Betrieb",,"pdf"
"226",201650,"Inzlingerstrasse 309 (Riehen)",47.584995,7.669004,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2016-09-22 02:00:00+02:00","ausser Betrieb",,"xlsx"
"227",201660,"Missionstrasse 37/42",47.560465,7.576632,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2016-11-14 01:00:00+01:00","ausser Betrieb",,"xlsx"
"232",300701,"Birsfelden Hauptstrasse",47.554773,7.618729,"Birsfelden","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Land","2000-01-01 01:00:00+01:00","in Betrieb","https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/tiefbauamt/kennzahlen/verkehrserhebungen","xlsx"
"261",918,"Elsässerrheinweg",0,0,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto+Fuss","Induktionsschlaufen","Andere","Kanton Basel-Stadt","2017-02-01 01:00:00+01:00","in Betrieb",,"xlsx"
"262",919,"St. Alban-Rheinweg",0,0,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-02-01 01:00:00+01:00","in Betrieb",,"xlsx"
"263",920,"J. Burckhardt-Strasse",0,0,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2017-11-23 01:00:00+01:00","in Betrieb",,"xlsx"
"264",201725,"Hochstrasse 39",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-12-04 01:00:00+01:00","ausser Betrieb",,"xlsx"
"268",201803,"Birsigstrasse 28",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2018-06-18 02:00:00+02:00","ausser Betrieb",,"xlsx"
"269",201801,"Drosselstrasse 45",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2018-11-06 01:00:00+01:00","ausser Betrieb",,"xlsx"
"281",201727,"Lenzgasse 28",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-06-13 02:00:00+02:00","ausser Betrieb",,"pdf"
"282",201901,"Heinrichsgasse",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2019-10-29 01:00:00+01:00","ausser Betrieb",,"pdf"
"283",201627,"Blauensteinerstrasse 6",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-12-01 01:00:00+01:00","ausser Betrieb",,"pdf"
"286",201729,"Oetlingerstrasse 157",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-06-08 02:00:00+02:00","ausser Betrieb",,"pdf"
"287",201629,"Oetlingerstrasse 71",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-11-22 01:00:00+01:00","ausser Betrieb",,"pdf"
"288",201730,"Matthäusstrasse 16",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2017-06-27 02:00:00+02:00","ausser Betrieb",,"pdf"
"303",201905,"Rämelstrasse",0,0,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2019-10-17 02:00:00+02:00","ausser Betrieb",,"pdf"
"18",354,"Wettsteinbrücke",47.558056,7.597487,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"19",401,"Luzernerring-Brücke",47.569777,7.572314,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"37",420,"Nauenstrasse 73",47.546597,7.594879,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2004-10-01 02:00:00+02:00","in Betrieb",,"xlsx"
"42",660,"Flughafenstrasse, Grenze CH-F",47.574792,7.562314,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-10-01 02:00:00+02:00","in Betrieb",,"xlsx"
"48",772,"Austrasse 38",47.553443,7.582243,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Induktionsschlaufen LSA","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2012-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"49",773,"Eulerstrasse 34",47.555328,7.58058,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Induktionsschlaufen LSA","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"61",812,"Wettsteinbrücke",47.555017,7.594806,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"62",813,"Hardstrasse 66/77",47.549831,7.605634,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"67",902,"Viaduktstrasse",47.549777,7.583341,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2014-11-15 01:00:00+01:00","in Betrieb",,"xlsx"
"71",906,"Hegenheimerstrasse 44",47.560581,7.571595,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-08-31 02:00:00+02:00","in Betrieb",,"xlsx"
"73",909,"General Guisan-Strasse 104",47.549704,7.56548,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-09-19 02:00:00+02:00","in Betrieb",,"xlsx"
"76",912,"Elsässerstrasse 261/260",47.576697,7.57227,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2011-09-06 02:00:00+02:00","in Betrieb",,"xlsx"
"77",913,"Burgfelderstrasse",47.570134,7.559018,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2012-10-03 02:00:00+02:00","in Betrieb",,"xlsx"
