FK_ZAEHLER,FK_STANDORT,year,month,day,hour,total_fuss,total_velo,datum
ECO09113499,3927,2021,1,4,0,0,0,2021-01-04T00:00:00Z
ECO09113499,3927,2021,1,4,1,0,0,2021-01-04T01:00:00Z
ECO09113499,3927,2021,1,4,2,0,0,2021-01-04T02:00:00Z
ECO09113499,3927,2021,1,4,3,0,2,2021-01-04T03:00:00Z
ECO09113499,3927,2021,1,4,4,0,0,2021-01-04T04:00:00Z
ECO09113499,3927,2021,1,4,5,0,7,2021-01-04T05:00:00Z
ECO09113499,3927,2021,1,4,6,0,23,2021-01-04T06:00:00Z
ECO09113499,3927,2021,1,4,7,0,101,2021-01-04T07:00:00Z
ECO09113499,3927,2021,1,4,8,0,88,2021-01-04T08:00:00Z
ECO09113499,3927,2021,1,4,9,0,37,2021-01-04T09:00:00Z
ECO09113499,3927,2021,1,4,10,0,20,2021-01-04T10:00:00Z
ECO09113499,3927,2021,1,4,11,0,22,2021-01-04T11:00:00Z
ECO09113499,3927,2021,1,4,12,0,20,2021-01-04T12:00:00Z
ECO09113499,3927,2021,1,4,13,0,30,2021-01-04T13:00:00Z
ECO09113499,3927,2021,1,4,14,0,20,2021-01-04T14:00:00Z
ECO09113499,3927,2021,1,4,15,0,23,2021-01-04T15:00:00Z
ECO09113499,3927,2021,1,4,16,0,34,2021-01-04T16:00:00Z
ECO09113499,3927,2021,1,4,17,0,23,2021-01-04T17:00:00Z
ECO09113499,3927,2021,1,4,18,0,18,2021-01-04T18:00:00Z
ECO09113499,3927,2021,1,4,19,0,10,2021-01-04T19:00:00Z
ECO09113499,3927,2021,1,4,20,0,6,2021-01-04T20:00:00Z
ECO09113499,3927,2021,1,4,21,0,4,2021-01-04T21:00:00Z
ECO09113499,3927,2021,1,4,22,0,2,2021-01-04T22:00:00Z
ECO09113499,3927,2021,1,4,23,0,0,2021-01-04T23:00:00Z
ECO09113499,3927,2021,1,5,0,0,0,2021-01-05T00:00:00Z
ECO09113499,3927,2021,1,5,1,0,0,2021-01-05T01:00:00Z
ECO09113499,3927,2021,1,5,2,0,0,2021-01-05T02:00:00Z
ECO09113499,3927,2021,1,5,3,0,0,2021-01-05T03:00:00Z
ECO09113499,3927,2021,1,5,4,0,0,2021-01-05T04:00:00Z
ECO09113499,3927,2021,1,5,5,0,0,2021-01-05T05:00:00Z
ECO09113499,3927,2021,1,5,6,0,33,2021-01-05T06:00:00Z
ECO09113499,3927,2021,1,5,7,0,109,2021-01-05T07:00:00Z
ECO09113499,3927,2021,1,5,8,0,132,2021-01-05T08:00:00Z
ECO09113499,3927,2021,1,5,9,0,46,2021-01-05T09:00:00Z
ECO09113499,3927,2021,1,5,10,0,40,2021-01-05T10:00:00Z
ECO09113499,3927,2021,1,5,11,0,18,2021-01-05T11:00:00Z
ECO09113499,3927,2021,1,5,12,0,11,2021-01-05T12:00:00Z
ECO09113499,3927,2021,1,5,13,0,17,2021-01-05T13:00:00Z
ECO09113499,3927,2021,1,5,14,0,16,2021-01-05T14:00:00Z
ECO09113499,3927,2021,1,5,15,0,29,2021-01-05T15:00:00Z
ECO09113499,3927,2021,1,5,16,0,29,2021-01-05T16:00:00Z
ECO09113499,3927,2021,1,5,17,0,28,2021-01-05T17:00:00Z
ECO09113499,3927,2021,1,5,18,0,13,2021-01-05T18:00:00Z
ECO09113499,3927,2021,1,5,19,0,22,2021-01-05T19:00:00Z
ECO09113499,3927,2021,1,5,20,0,10,2021-01-05T20:00:00Z
ECO09113499,3927,2021,1,5,21,0,3,2021-01-05T21:00:00Z
ECO09113499,3927,2021,1,5,22,0,1,2021-01-05T22:00:00Z
ECO09113499,3927,2021,1,5,23,0,2,2021-01-05T23:00:00Z
ECO09113499,3927,2021,1,6,0,0,2,2021-01-06T00:00:00Z
ECO09113499,3927,2021,1,6,1,0,0,2021-01-06T01:00:00Z
ECO09113499,3927,2021,1,6,2,0,0,2021-01-06T02:00:00Z
ECO09113499,3927,2021,1,6,3,0,0,2021-01-06T03:00:00Z
ECO09113499,3927,2021,1,6,4,0,0,2021-01-06T04:00:00Z
ECO09113499,3927,2021,1,6,5,0,4,2021-01-06T05:00:00Z
ECO09113499,3927,2021,1,6,6,0,30,2021-01-06T06:00:00Z
ECO09113499,3927,2021,1,6,7,0,62,2021-01-06T07:00:00Z
ECO09113499,3927,2021,1,6,8,0,50,2021-01-06T08:00:00Z
ECO09113499,3927,2021,1,6,9,0,27,2021-01-06T09:00:00Z
ECO09113499,3927,2021,1,6,10,0,11,2021-01-06T10:00:00Z
ECO09113499,3927,2021,1,6,11,0,10,2021-01-06T11:00:00Z
ECO09113499,3927,2021,1,6,12,0,15,2021-01-06T12:00:00Z
ECO09113499,3927,2021,1,6,13,0,21,2021-01-06T13:00:00Z
ECO09113499,3927,2021,1,6,14,0,5,2021-01-06T14:00:00Z
ECO09113499,3927,2021,1,6,15,0,7,2021-01-06T15:00:00Z
ECO09113499,3927,2021,1,6,16,0,6,2021-01-06T16:00:00Z
ECO09113499,3927,2021,1,6,17,0,14,2021-01-06T17:00:00Z
ECO09113499,3927,2021,1,6,18,0,13,2021-01-06T18:00:00Z
ECO09113499,3927,2021,1,6,19,0,13,2021-01-06T19:00:00Z
ECO09113499,3927,2021,1,6,20,0,1,2021-01-06T20:00:00Z
ECO09113499,3927,2021,1,6,21,0,0,2021-01-06T21:00:00Z
ECO09113499,3927,2021,1,6,22,0,0,2021-01-06T22:00:00Z
ECO09113499,3927,2021,1,6,23,0,3,2021-01-06T23:00:00Z
ECO09113499,3927,2021,1,7,0,0,4,2021-01-07T00:00:00Z
ECO09113499,3927,2021,1,7,1,0,0,2021-01-07T01:00:00Z
ECO09113499,3927,2021,1,7,2,0,0,2021-01-07T02:00:00Z
ECO09113499,3927,2021,1,7,3,0,0,2021-01-07T03:00:00Z
ECO09113499,3927,2021,1,7,4,0,2,2021-01-07T04:00:00Z
ECO09113499,3927,2021,1,7,5,0,5,2021-01-07T05:00:00Z
ECO09113499,3927,2021,1,7,6,0,28,2021-01-07T06:00:00Z
ECO09113499,3927,2021,1,7,7,0,90,2021-01-07T07:00:00Z
ECO09113499,3927,2021,1,7,8,0,66,2021-01-07T08:00:00Z
ECO09113499,3927,2021,1,7,9,0,35,2021-01-07T09:00:00Z
ECO09113499,3927,2021,1,7,10,0,28,2021-01-07T10:00:00Z
ECO09113499,3927,2021,1,7,11,0,19,2021-01-07T11:00:00Z
ECO09113499,3927,2021,1,7,12,0,17,2021-01-07T12:00:00Z
ECO09113499,3927,2021,1,7,13,0,30,2021-01-07T13:00:00Z
ECO09113499,3927,2021,1,7,14,0,23,2021-01-07T14:00:00Z
ECO09113499,3927,2021,1,7,15,0,24,2021-01-07T15:00:00Z
ECO09113499,3927,2021,1,7,16,0,17,2021-01-07T16:00:00Z
ECO09113499,3927,2021,1,7,17,0,14,2021-01-07T17:00:00Z
ECO09113499,3927,2021,1,7,18,0,27,2021-01-07T18:00:00Z
ECO09113499,3927,2021,1,7,19,0,12,2021-01-07T19:00:00Z
ECO09113499,3927,2021,1,7,20,0,7,2021-01-07T20:00:00Z
ECO09113499,3927,2021,1,7,21,0,0,2021-01-07T21:00:00Z
ECO09113499,3927,2021,1,7,22,0,4,2021-01-07T22:00:00Z
ECO09113499,3927,2021,1,7,23,0,3,2021-01-07T23:00:00Z
ECO09113499,3927,2021,1,8,0,0,1,2021-01-08T00:00:00Z
ECO09113499,3927,2021,1,8,1,0,0,2021-01-08T01:00:00Z
ECO09113499,3927,2021,1,8,2,0,0,2021-01-08T02:00:00Z
ECO09113499,3927,2021,1,8,3,0,0,2021-01-08T03:00:00Z
ECO09113499,3927,2021,1,8,4,0,1,2021-01-08T04:00:00Z
ECO09113499,3927,2021,1,8,5,0,8,2021-01-08T05:00:00Z
ECO09113499,3927,2021,1,8,6,0,25,2021-01-08T06:00:00Z
ECO09113499,3927,2021,1,8,7,0,72,2021-01-08T07:00:00Z
ECO09113499,3927,2021,1,8,8,0,71,2021-01-08T08:00:00Z
ECO09113499,3927,2021,1,8,9,0,42,2021-01-08T09:00:00Z
ECO09113499,3927,2021,1,8,10,0,20,2021-01-08T10:00:00Z
ECO09113499,3927,2021,1,8,11,0,14,2021-01-08T11:00:00Z
ECO09113499,3927,2021,1,8,12,0,27,2021-01-08T12:00:00Z
ECO09113499,3927,2021,1,8,13,0,25,2021-01-08T13:00:00Z
ECO09113499,3927,2021,1,8,14,0,38,2021-01-08T14:00:00Z
ECO09113499,3927,2021,1,8,15,0,22,2021-01-08T15:00:00Z
ECO09113499,3927,2021,1,8,16,0,24,2021-01-08T16:00:00Z
ECO09113499,3927,2021,1,8,17,0,26,2021-01-08T17:00:00Z
ECO09113499,3927,2021,1,8,18,0,12,2021-01-08T18:00:00Z
ECO09113499,3927,2021,1,8,19,0,8,2021-01-08T19:00:00Z
ECO09113499,3927,2021,1,8,20,0,6,2021-01-08T20:00:00Z
ECO09113499,3927,2021,1,8,21,0,5,2021-01-08T21:00:00Z
ECO09113499,3927,2021,1,8,22,0,2,2021-01-08T22:00:00Z
ECO09113499,3927,2021,1,8,23,0,2,2021-01-08T23:00:00Z
ECO09113499,3927,2021,1,9,0,0,1,2021-01-09T00:00:00Z
ECO09113499,3927,2021,1,9,1,0,0,2021-01-09T01:00:00Z
ECO09113499,3927,2021,1,9,2,0,4,2021-01-09T02:00:00Z
ECO09113499,3927,2021,1,9,3,0,0,2021-01-09T03:00:00Z
ECO09113499,3927,2021,1,9,4,0,0,2021-01-09T04:00:00Z
ECO09113499,3927,2021,1,9,5,0,1,2021-01-09T05:00:00Z
ECO09113499,3927,2021,1,9,6,0,4,2021-01-09T06:00:00Z
ECO09113499,3927,2021,1,9,7,0,7,2021-01-09T07:00:00Z
ECO09113499,3927,2021,1,9,8,0,11,2021-01-09T08:00:00Z
ECO09113499,3927,2021,1,9,9,0,22,2021-01-09T09:00:00Z
ECO09113499,3927,2021,1,9,10,0,30,2021-01-09T10:00:00Z
ECO09113499,3927,2021,1,9,11,0,22,2021-01-09T11:00:00Z
ECO09113499,3927,2021,1,9,12,0,33,2021-01-09T12:00:00Z
ECO09113499,3927,2021,1,9,13,0,40,2021-01-09T13:00:00Z
ECO09113499,3927,2021,1,9,14,0,40,2021-01-09T14:00:00Z
ECO09113499,3927,2021,1,9,15,0,29,2021-01-09T15:00:00Z
ECO09113499,3927,2021,1,9,16,0,19,2021-01-09T16:00:00Z
ECO09113499,3927,2021,1,9,17,0,15,2021-01-09T17:00:00Z
ECO09113499,3927,2021,1,9,18,0,8,2021-01-09T18:00:00Z
ECO09113499,3927,2021,1,9,19,0,3,2021-01-09T19:00:00Z
ECO09113499,3927,2021,1,9,20,0,5,2021-01-09T20:00:00Z
ECO09113499,3927,2021,1,9,21,0,3,2021-01-09T21:00:00Z
ECO09113499,3927,2021,1,9,22,0,3,2021-01-09T22:00:00Z
ECO09113499,3927,2021,1,9,23,0,5,2021-01-09T23:00:00Z
ECO09113499,3927,2021,1,10,0,0,3,2021-01-10T00:00:00Z
ECO09113499,3927,2021,1,10,1,0,3,2021-01-10T01:00:00Z
ECO09113499,3927,2021,1,10,2,0,3,2021-01-10T02:00:00Z
ECO09113499,3927,2021,1,10,3,0,3,2021-01-10T03:00:00Z
ECO09113499,3927,2021,1,10,4,0,0,2021-01-10T04:00:00Z
ECO09113499,3927,2021,1,10,5,0,0,2021-01-10T05:00:00Z
ECO09113499,3927,2021,1,10,6,0,6,2021-01-10T06:00:00Z
ECO09113499,3927,2021,1,10,7,0,0,2021-01-10T07:00:00Z
ECO09113499,3927,2021,1,10,8,0,7,2021-01-10T08:00:00Z
ECO09113499,3927,2021,1,10,9,0,12,2021-01-10T09:00:00Z
ECO09113499,3927,2021,1,10,10,0,24,2021-01-10T10:00:00Z
ECO09113499,3927,2021,1,10,11,0,21,2021-01-10T11:00:00Z
ECO09113499,3927,2021,1,10,12,0,21,2021-01-10T12:00:00Z
ECO09113499,3927,2021,1,10,13,0,42,2021-01-10T13:00:00Z
ECO09113499,3927,2021,1,10,14,0,49,2021-01-10T14:00:00Z
ECO09113499,3927,2021,1,10,15,0,51,2021-01-10T15:00:00Z
ECO09113499,3927,2021,1,10,16,0,29,2021-01-10T16:00:00Z
ECO09113499,3927,2021,1,10,17,0,14,2021-01-10T17:00:00Z
ECO09113499,3927,2021,1,10,18,0,4,2021-01-10T18:00:00Z
ECO09113499,3927,2021,1,10,19,0,6,2021-01-10T19:00:00Z
ECO09113499,3927,2021,1,10,20,0,6,2021-01-10T20:00:00Z
ECO09113499,3927,2021,1,10,21,0,1,2021-01-10T21:00:00Z
ECO09113499,3927,2021,1,10,22,0,2,2021-01-10T22:00:00Z
ECO09113499,3927,2021,1,10,23,0,1,2021-01-10T23:00:00Z
ECO09113499,3927,2021,1,11,0,0,0,2021-01-11T00:00:00Z
ECO09113499,3927,2021,1,11,1,0,0,2021-01-11T01:00:00Z
ECO09113499,3927,2021,1,11,2,0,1,2021-01-11T02:00:00Z
ECO09113499,3927,2021,1,11,3,0,0,2021-01-11T03:00:00Z
ECO09113499,3927,2021,1,11,4,0,0,2021-01-11T04:00:00Z
ECO09113499,3927,2021,1,11,5,0,8,2021-01-11T05:00:00Z
ECO09113499,3927,2021,1,11,6,0,27,2021-01-11T06:00:00Z
ECO09113499,3927,2021,1,11,7,0,86,2021-01-11T07:00:00Z
ECO09113499,3927,2021,1,11,8,0,92,2021-01-11T08:00:00Z
ECO09113499,3927,2021,1,11,9,0,28,2021-01-11T09:00:00Z
ECO09113499,3927,2021,1,11,10,0,25,2021-01-11T10:00:00Z
ECO09113499,3927,2021,1,11,11,0,15,2021-01-11T11:00:00Z
ECO09113499,3927,2021,1,11,12,0,14,2021-01-11T12:00:00Z
ECO09113499,3927,2021,1,11,13,0,25,2021-01-11T13:00:00Z
ECO09113499,3927,2021,1,11,14,0,23,2021-01-11T14:00:00Z
ECO09113499,3927,2021,1,11,15,0,27,2021-01-11T15:00:00Z
ECO09113499,3927,2021,1,11,16,0,30,2021-01-11T16:00:00Z
ECO09113499,3927,2021,1,11,17,0,25,2021-01-11T17:00:00Z
ECO09113499,3927,2021,1,11,18,0,22,2021-01-11T18:00:00Z
ECO09113499,3927,2021,1,11,19,0,6,2021-01-11T19:00:00Z
ECO09113499,3927,2021,1,11,20,0,4,2021-01-11T20:00:00Z
ECO09113499,3927,2021,1,11,21,0,1,2021-01-11T21:00:00Z
ECO09113499,3927,2021,1,11,22,0,4,2021-01-11T22:00:00Z
ECO09113499,3927,2021,1,11,23,0,0,2021-01-11T23:00:00Z
ECO09113499,3927,2021,1,12,0,0,0,2021-01-12T00:00:00Z
ECO09113499,3927,2021,1,12,1,0,1,2021-01-12T01:00:00Z
ECO09113499,3927,2021,1,12,2,0,2,2021-01-12T02:00:00Z
ECO09113499,3927,2021,1,12,3,0,0,2021-01-12T03:00:00Z
ECO09113499,3927,2021,1,12,4,0,2,2021-01-12T04:00:00Z
ECO09113499,3927,2021,1,12,5,0,11,2021-01-12T05:00:00Z
ECO09113499,3927,2021,1,12,6,0,32,2021-01-12T06:00:00Z
ECO09113499,3927,2021,1,12,7,0,88,2021-01-12T07:00:00Z
ECO09113499,3927,2021,1,12,8,0,78,2021-01-12T08:00:00Z
ECO09113499,3927,2021,1,12,9,0,45,2021-01-12T09:00:00Z
ECO09113499,3927,2021,1,12,10,0,15,2021-01-12T10:00:00Z
ECO09113499,3927,2021,1,12,11,0,21,2021-01-12T11:00:00Z
