FK_ZAEHLER,FK_STANDORT,year,month,day,hour,total_fuss,total_velo,datum
ECO09022739,5,2010,1,1,0,0,11,2010-01-01T00:00:00Z
ECO09022739,5,2010,1,1,1,0,1,2010-01-01T01:00:00Z
ECO09022739,5,2010,1,1,2,0,0,2010-01-01T02:00:00Z
ECO09022739,5,2010,1,1,3,0,0,2010-01-01T03:00:00Z
ECO09022739,5,2010,1,1,4,0,3,2010-01-01T04:00:00Z
ECO09022739,5,2010,1,1,5,0,1,2010-01-01T05:00:00Z
ECO09022739,5,2010,1,1,6,0,0,2010-01-01T06:00:00Z
ECO09022739,5,2010,1,1,7,0,3,2010-01-01T07:00:00Z
ECO09022739,5,2010,1,1,8,0,3,2010-01-01T08:00:00Z
ECO09022739,5,2010,1,1,9,0,0,2010-01-01T09:00:00Z
ECO09022739,5,2010,1,1,10,0,3,2010-01-01T10:00:00Z
ECO09022739,5,2010,1,1,11,0,1,2010-01-01T11:00:00Z
ECO09022739,5,2010,1,1,12,0,4,2010-01-01T12:00:00Z
ECO09022739,5,2010,1,1,13,0,0,2010-01-01T13:00:00Z
ECO09022739,5,2010,1,1,14,0,3,2010-01-01T14:00:00Z
ECO09022739,5,2010,1,1,15,0,6,2010-01-01T15:00:00Z
ECO09022739,5,2010,1,1,16,0,6,2010-01-01T16:00:00Z
ECO09022739,5,2010,1,1,17,0,3,2010-01-01T17:00:00Z
ECO09022739,5,2010,1,1,18,0,4,2010-01-01T18:00:00Z
ECO09022739,5,2010,1,1,19,0,0,2010-01-01T19:00:00Z
ECO09022739,5,2010,1,1,20,0,1,2010-01-01T20:00:00Z
ECO09022739,5,2010,1,1,21,0,0,2010-01-01T21:00:00Z
ECO09022739,5,2010,1,1,22,0,0,2010-01-01T22:00:00Z
ECO09022739,5,2010,1,1,23,0,1,2010-01-01T23:00:00Z
ECO09022739,5,2010,1,2,0,0,0,2010-01-02T00:00:00Z
ECO09022739,5,2010,1,2,1,0,0,2010-01-02T01:00:00Z
ECO09022739,5,2010,1,2,2,0,0,2010-01-02T02:00:00Z
ECO09022739,5,2010,1,2,3,0,0,2010-01-02T03:00:00Z
ECO09022739,5,2010,1,2,4,0,0,2010-01-02T04:00:00Z
ECO09022739,5,2010,1,2,5,0,0,2010-01-02T05:00:00Z
ECO09022739,5,2010,1,2,6,0,0,2010-01-02T06:00:00Z
ECO09022739,5,2010,1,2,7,0,7,2010-01-02T07:00:00Z
ECO09022739,5,2010,1,2,8,0,2,2010-01-02T08:00:00Z
ECO09022739,5,2010,1,2,9,0,3,2010-01-02T09:00:00Z
ECO09022739,5,2010,1,2,10,0,3,2010-01-02T10:00:00Z
ECO09022739,5,2010,1,2,11,0,7,2010-01-02T11:00:00Z
ECO09022739,5,2010,1,2,12,0,4,2010-01-02T12:00:00Z
ECO09022739,5,2010,1,2,13,0,14,2010-01-02T13:00:00Z
ECO09022739,5,2010,1,2,14,0,13,2010-01-02T14:00:00Z
ECO09022739,5,2010,1,2,15,0,6,2010-01-02T15:00:00Z
ECO09022739,5,2010,1,2,16,0,11,2010-01-02T16:00:00Z
ECO09022739,5,2010,1,2,17,0,2,2010-01-02T17:00:00Z
ECO09022739,5,2010,1,2,18,0,2,2010-01-02T18:00:00Z
ECO09022739,5,2010,1,2,19,0,3,2010-01-02T19:00:00Z
ECO09022739,5,2010,1,2,20,0,4,2010-01-02T20:00:00Z
ECO09022739,5,2010,1,2,21,0,4,2010-01-02T21:00:00Z
ECO09022739,5,2010,1,2,22,0,3,2010-01-02T22:00:00Z
ECO09022739,5,2010,1,2,23,0,0,2010-01-02T23:00:00Z
ECO09022739,5,2010,1,3,0,0,0,2010-01-03T00:00:00Z
ECO09022739,5,2010,1,3,1,0,1,2010-01-03T01:00:00Z
ECO09022739,5,2010,1,3,2,0,0,2010-01-03T02:00:00Z
ECO09022739,5,2010,1,3,3,0,1,2010-01-03T03:00:00Z
ECO09022739,5,2010,1,3,4,0,0,2010-01-03T04:00:00Z
ECO09022739,5,2010,1,3,5,0,0,2010-01-03T05:00:00Z
ECO09022739,5,2010,1,3,6,0,0,2010-01-03T06:00:00Z
ECO09022739,5,2010,1,3,7,0,3,2010-01-03T07:00:00Z
ECO09022739,5,2010,1,3,8,0,2,2010-01-03T08:00:00Z
ECO09022739,5,2010,1,3,9,0,8,2010-01-03T09:00:00Z
ECO09022739,5,2010,1,3,10,0,9,2010-01-03T10:00:00Z
ECO09022739,5,2010,1,3,11,0,3,2010-01-03T11:00:00Z
ECO09022739,5,2010,1,3,12,0,12,2010-01-03T12:00:00Z
ECO09022739,5,2010,1,3,13,0,8,2010-01-03T13:00:00Z
ECO09022739,5,2010,1,3,14,0,18,2010-01-03T14:00:00Z
ECO09022739,5,2010,1,3,15,0,14,2010-01-03T15:00:00Z
ECO09022739,5,2010,1,3,16,0,10,2010-01-03T16:00:00Z
ECO09022739,5,2010,1,3,17,0,6,2010-01-03T17:00:00Z
ECO09022739,5,2010,1,3,18,0,4,2010-01-03T18:00:00Z
ECO09022739,5,2010,1,3,19,0,5,2010-01-03T19:00:00Z
ECO09022739,5,2010,1,3,20,0,3,2010-01-03T20:00:00Z
ECO09022739,5,2010,1,3,21,0,2,2010-01-03T21:00:00Z
ECO09022739,5,2010,1,3,22,0,1,2010-01-03T22:00:00Z
ECO09022739,5,2010,1,3,23,0,0,2010-01-03T23:00:00Z
ECO09022739,5,2010,1,4,0,0,0,2010-01-04T00:00:00Z
ECO09022739,5,2010,1,4,1,0,0,2010-01-04T01:00:00Z
ECO09022739,5,2010,1,4,2,0,1,2010-01-04T02:00:00Z
ECO09022739,5,2010,1,4,3,0,0,2010-01-04T03:00:00Z
ECO09022739,5,2010,1,4,4,0,0,2010-01-04T04:00:00Z
ECO09022739,5,2010,1,4,5,0,0,2010-01-04T05:00:00Z
ECO09022739,5,2010,1,4,6,0,0,2010-01-04T06:00:00Z
ECO09022739,5,2010,1,4,7,0,14,2010-01-04T07:00:00Z
ECO09022739,5,2010,1,4,8,0,33,2010-01-04T08:00:00Z
ECO09022739,5,2010,1,4,9,0,31,2010-01-04T09:00:00Z
ECO09022739,5,2010,1,4,10,0,18,2010-01-04T10:00:00Z
ECO09022739,5,2010,1,4,11,0,7,2010-01-04T11:00:00Z
ECO09022739,5,2010,1,4,12,0,10,2010-01-04T12:00:00Z
ECO09022739,5,2010,1,4,13,0,6,2010-01-04T13:00:00Z
ECO09022739,5,2010,1,4,14,0,9,2010-01-04T14:00:00Z
ECO09022739,5,2010,1,4,15,0,7,2010-01-04T15:00:00Z
ECO09022739,5,2010,1,4,16,0,7,2010-01-04T16:00:00Z
ECO09022739,5,2010,1,4,17,0,6,2010-01-04T17:00:00Z
ECO09022739,5,2010,1,4,18,0,8,2010-01-04T18:00:00Z
ECO09022739,5,2010,1,4,19,0,8,2010-01-04T19:00:00Z
ECO09022739,5,2010,1,4,20,0,5,2010-01-04T20:00:00Z
ECO09022739,5,2010,1,4,21,0,2,2010-01-04T21:00:00Z
ECO09022739,5,2010,1,4,22,0,1,2010-01-04T22:00:00Z
ECO09022739,5,2010,1,4,23,0,0,2010-01-04T23:00:00Z
ECO09022739,5,2010,1,5,0,0,0,2010-01-05T00:00:00Z
ECO09022739,5,2010,1,5,1,0,0,2010-01-05T01:00:00Z
ECO09022739,5,2010,1,5,2,0,0,2010-01-05T02:00:00Z
ECO09022739,5,2010,1,5,3,0,0,2010-01-05T03:00:00Z
ECO09022739,5,2010,1,5,4,0,0,2010-01-05T04:00:00Z
ECO09022739,5,2010,1,5,5,0,0,2010-01-05T05:00:00Z
ECO09022739,5,2010,1,5,6,0,2,2010-01-05T06:00:00Z
ECO09022739,5,2010,1,5,7,0,11,2010-01-05T07:00:00Z
ECO09022739,5,2010,1,5,8,0,33,2010-01-05T08:00:00Z
ECO09022739,5,2010,1,5,9,0,38,2010-01-05T09:00:00Z
ECO09022739,5,2010,1,5,10,0,13,2010-01-05T10:00:00Z
ECO09022739,5,2010,1,5,11,0,9,2010-01-05T11:00:00Z
ECO09022739,5,2010,1,5,12,0,10,2010-01-05T12:00:00Z
ECO09022739,5,2010,1,5,13,0,2,2010-01-05T13:00:00Z
ECO09022739,5,2010,1,5,14,0,4,2010-01-05T14:00:00Z
ECO09022739,5,2010,1,5,15,0,2,2010-01-05T15:00:00Z
ECO09022739,5,2010,1,5,16,0,6,2010-01-05T16:00:00Z
ECO09022739,5,2010,1,5,17,0,1,2010-01-05T17:00:00Z
ECO09022739,5,2010,1,5,18,0,6,2010-01-05T18:00:00Z
ECO09022739,5,2010,1,5,19,0,5,2010-01-05T19:00:00Z
ECO09022739,5,2010,1,5,20,0,2,2010-01-05T20:00:00Z
ECO09022739,5,2010,1,5,21,0,4,2010-01-05T21:00:00Z
ECO09022739,5,2010,1,5,22,0,1,2010-01-05T22:00:00Z
ECO09022739,5,2010,1,5,23,0,2,2010-01-05T23:00:00Z
ECO09022739,5,2010,1,6,0,0,0,2010-01-06T00:00:00Z
ECO09022739,5,2010,1,6,1,0,0,2010-01-06T01:00:00Z
ECO09022739,5,2010,1,6,2,0,0,2010-01-06T02:00:00Z
ECO09022739,5,2010,1,6,3,0,0,2010-01-06T03:00:00Z
ECO09022739,5,2010,1,6,4,0,0,2010-01-06T04:00:00Z
ECO09022739,5,2010,1,6,5,0,0,2010-01-06T05:00:00Z
ECO09022739,5,2010,1,6,6,0,2,2010-01-06T06:00:00Z
ECO09022739,5,2010,1,6,7,0,9,2010-01-06T07:00:00Z
ECO09022739,5,2010,1,6,8,0,32,2010-01-06T08:00:00Z
ECO09022739,5,2010,1,6,9,0,23,2010-01-06T09:00:00Z
ECO09022739,5,2010,1,6,10,0,14,2010-01-06T10:00:00Z
ECO09022739,5,2010,1,6,11,0,6,2010-01-06T11:00:00Z
ECO09022739,5,2010,1,6,12,0,12,2010-01-06T12:00:00Z
ECO09022739,5,2010,1,6,13,0,4,2010-01-06T13:00:00Z
ECO09022739,5,2010,1,6,14,0,7,2010-01-06T14:00:00Z
ECO09022739,5,2010,1,6,15,0,3,2010-01-06T15:00:00Z
ECO09022739,5,2010,1,6,16,0,5,2010-01-06T16:00:00Z
ECO09022739,5,2010,1,6,17,0,6,2010-01-06T17:00:00Z
ECO09022739,5,2010,1,6,18,0,6,2010-01-06T18:00:00Z
ECO09022739,5,2010,1,6,19,0,7,2010-01-06T19:00:00Z
ECO09022739,5,2010,1,6,20,0,7,2010-01-06T20:00:00Z
ECO09022739,5,2010,1,6,21,0,0,2010-01-06T21:00:00Z
ECO09022739,5,2010,1,6,22,0,2,2010-01-06T22:00:00Z
ECO09022739,5,2010,1,6,23,0,1,2010-01-06T23:00:00Z
