FK_ZAEHLER,FK_STANDORT,year,month,day,hour,total_fuss,total_velo,datum
ECO09022739,5,2009,12,2,0,0,2,2009-12-02T00:00:00Z
ECO09022739,5,2009,12,2,1,0,0,2009-12-02T01:00:00Z
ECO09022739,5,2009,12,2,2,0,1,2009-12-02T02:00:00Z
ECO09022739,5,2009,12,2,3,0,0,2009-12-02T03:00:00Z
ECO09022739,5,2009,12,2,4,0,0,2009-12-02T04:00:00Z
ECO09022739,5,2009,12,2,5,0,0,2009-12-02T05:00:00Z
ECO09022739,5,2009,12,2,6,0,6,2009-12-02T06:00:00Z
ECO09022739,5,2009,12,2,7,0,14,2009-12-02T07:00:00Z
ECO09022739,5,2009,12,2,8,0,61,2009-12-02T08:00:00Z
ECO09022739,5,2009,12,2,9,0,54,2009-12-02T09:00:00Z
ECO09022739,5,2009,12,2,10,0,20,2009-12-02T10:00:00Z
ECO09022739,5,2009,12,2,11,0,8,2009-12-02T11:00:00Z
ECO09022739,5,2009,12,2,12,0,11,2009-12-02T12:00:00Z
ECO09022739,5,2009,12,2,13,0,8,2009-12-02T13:00:00Z
ECO09022739,5,2009,12,2,14,0,16,2009-12-02T14:00:00Z
ECO09022739,5,2009,12,2,15,0,8,2009-12-02T15:00:00Z
ECO09022739,5,2009,12,2,16,0,4,2009-12-02T16:00:00Z
ECO09022739,5,2009,12,2,17,0,13,2009-12-02T17:00:00Z
ECO09022739,5,2009,12,2,18,0,14,2009-12-02T18:00:00Z
ECO09022739,5,2009,12,2,19,0,23,2009-12-02T19:00:00Z
ECO09022739,5,2009,12,2,20,0,13,2009-12-02T20:00:00Z
ECO09022739,5,2009,12,2,21,0,5,2009-12-02T21:00:00Z
ECO09022739,5,2009,12,2,22,0,3,2009-12-02T22:00:00Z
ECO09022739,5,2009,12,2,23,0,0,2009-12-02T23:00:00Z
ECO09022739,5,2009,12,3,0,0,0,2009-12-03T00:00:00Z
ECO09022739,5,2009,12,3,1,0,0,2009-12-03T01:00:00Z
ECO09022739,5,2009,12,3,2,0,0,2009-12-03T02:00:00Z
ECO09022739,5,2009,12,3,3,0,0,2009-12-03T03:00:00Z
ECO09022739,5,2009,12,3,4,0,0,2009-12-03T04:00:00Z
ECO09022739,5,2009,12,3,5,0,0,2009-12-03T05:00:00Z
ECO09022739,5,2009,12,3,6,0,3,2009-12-03T06:00:00Z
ECO09022739,5,2009,12,3,7,0,15,2009-12-03T07:00:00Z
